iter	RMSE
0	0.4885153086
1	0.4792036566
2	0.4703579456
3	0.4625332842
4	0.454366442
5	0.4466795473
6	0.4393261953
7	0.4325099153
8	0.4254321441
9	0.4191891431
10	0.4124280474
11	0.407011172
12	0.4009074243
13	0.3959982718
14	0.390995806
15	0.386121686
16	0.3810509301
17	0.3773740606
18	0.372752973
19	0.3682900461
20	0.3642752371
21	0.3610346712
22	0.3578557267
23	0.35477703
24	0.3518893683
25	0.3491053324
26	0.3462212754
27	0.3439695568
28	0.3414517832
29	0.3388374139
30	0.3362897848
31	0.3343476394
32	0.3318393615
33	0.3294756679
34	0.3275028909
35	0.3252381357
36	0.3232858377
37	0.3211943551
38	0.3190770078
39	0.3174359439
40	0.3155622367
41	0.3137152795
42	0.3121455604
43	0.3104588433
44	0.309251512
45	0.3078591195
46	0.3062962886
47	0.3053135455
48	0.3038478177
49	0.3029066252
50	0.3018285388
51	0.3005562093
52	0.2995405333
53	0.2983002711
54	0.2970299738
55	0.2958148438
56	0.2949434363
57	0.293599512
58	0.2921047828
59	0.2911723722
60	0.2899728729
61	0.2888653111
62	0.2878573461
63	0.2870877689
64	0.2859420745
65	0.2851096292
66	0.2843310614
67	0.2835273329
68	0.282615977
69	0.281833086
70	0.2813404918
71	0.2805910437
72	0.2800183353
73	0.2793993232
74	0.2785488342
75	0.2777367808
76	0.2768557086
77	0.2761675708
78	0.2756020066
79	0.275216687
80	0.2742976242
81	0.2739421912
82	0.2732190257
83	0.2724153726
84	0.2718117511
85	0.2710422213
86	0.2707102043
87	0.2701855469
88	0.2695475334
89	0.2689103071
90	0.2683367715
91	0.2679357939
92	0.2671959789
93	0.2666689687
94	0.2662689131
95	0.2661044675
96	0.2653753622
97	0.264896889
98	0.2643870721
99	0.2641345756
100	0.2635279301
101	0.2630631176
102	0.2624113102
103	0.2616011653
104	0.261414191
105	0.2610407245
106	0.2605789815
107	0.2601606265
108	0.2598501511
109	0.2593258121
110	0.2590317045
111	0.2587911767
112	0.2582470279
113	0.2577232334
114	0.2572854608
115	0.2564639847
116	0.256243344
117	0.2558739314
118	0.255436246
119	0.2551455547
120	0.2546301911
121	0.2543620964
122	0.2541020801
123	0.2535150278
124	0.2531589873
125	0.2531452422
126	0.252731048
127	0.2522141778
128	0.2519755553
129	0.2517269373
130	0.2515169943
131	0.2512157331
132	0.2509478094
133	0.2507212849
134	0.2504568265
135	0.2500841985
136	0.2491286237
137	0.2489227795
138	0.2486868577
139	0.2481992724
140	0.2479232097
141	0.2477215674
142	0.2470510512
143	0.2466762947
144	0.2465648832
145	0.2463971502
146	0.2461992613
147	0.2459266525
148	0.2457244859
149	0.2452817503
150	0.2444868773
151	0.2442551966
152	0.2439946064
153	0.2437437518
154	0.2431056686
155	0.243047651
156	0.2428456169
157	0.2424497066
158	0.2421930855
159	0.2421835811
160	0.2415811721
161	0.2413017413
162	0.2408939485
163	0.2403167922
164	0.2400011264
165	0.2394631757
166	0.2392294707
167	0.2389176892
168	0.2385241665
169	0.2381365194
170	0.237868172
171	0.2374659116
172	0.2372961293
173	0.2370941934
174	0.2369874787
175	0.236886801
176	0.2366710785
177	0.2366081836
178	0.2362031029
179	0.2361277618
180	0.2359428249
181	0.2359354087
182	0.2358579021
183	0.2358176917
184	0.2355944703
185	0.2353982273
186	0.2350297204
187	0.2349970143
188	0.234714958
189	0.2342618172
190	0.2340433661
191	0.2339184082
192	0.2335700543
193	0.2331145297
194	0.2330705303
195	0.2330426428
196	0.2329942841
197	0.232457321
198	0.2322681402
199	0.2321949852
200	0.2319327677
201	0.231890018
202	0.2313891187
203	0.2310708274
204	0.2310450111
205	0.2305245825
206	0.2304817963
207	0.2301398953
208	0.2301165617
209	0.2300921788
210	0.2300587694
211	0.2299983504
212	0.2293476794
213	0.22930549
214	0.2289301079
215	0.2288861961
216	0.2284040125
217	0.2283589641
218	0.2279179209
219	0.2276108537
220	0.2274109813
221	0.2268877331
222	0.2265727991
223	0.2260461757
224	0.2260050929
225	0.2259604046
226	0.2255527318
227	0.225367927
228	0.2251483052
229	0.2251118594
230	0.225079023
231	0.2250378708
232	0.2246811995
233	0.2245073923
234	0.2244718601
235	0.2243528417
236	0.2238728731
237	0.2238396023
238	0.223394179
239	0.2233623082
240	0.2233326668
241	0.2230034258
242	0.2225788484
243	0.2219733117
244	0.2219395566
245	0.2216943592
246	0.2213682337
247	0.2213332777
248	0.2209616354
249	0.2208960661
250	0.2208668485
251	0.2207552267
252	0.2204958021
253	0.2199924465
254	0.2199700798
255	0.2199372083
256	0.219643723
257	0.2195760046
258	0.2187836733
259	0.2187262362
260	0.2181911363
261	0.217881194
262	0.217796974
263	0.2174864011
264	0.2174451058
265	0.2174170573
266	0.2173899951
267	0.2173651747
268	0.2173244528
269	0.2167693098
270	0.2166461811
271	0.2161750524
272	0.2157711649
273	0.2157436392
274	0.2153648685
275	0.2153404406
276	0.21502813
277	0.2144036449
278	0.2142630207
279	0.2140095381
280	0.21370823
281	0.2133638895
282	0.2129697501
283	0.2128039055
284	0.2127803389
285	0.212590125
286	0.2125393591
287	0.2121632163
288	0.2118467467
289	0.211586343
290	0.2115633206
291	0.2109055731
292	0.2108817344
293	0.2105677076
294	0.2098486296
295	0.2096319862
296	0.2094616548
297	0.2091058715
298	0.2089376096
299	0.2087131802
300	0.2086892884
301	0.2086679431
302	0.208647136
303	0.208626177
304	0.2085810736
305	0.2085506937
